id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,census_track
253800,Loft Suite @ Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.7373,-73.95323,Entire home/apt,199,3,24,2019-04-25,0.26,28,60,3.6047e+14
253803,Loft Suite @ The Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73708,-73.95271,Entire home/apt,199,3,23,2019-06-22,0.26,28,60,3.6047e+14
253806,Loft Suite @ The Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73652,-73.95236,Entire home/apt,199,3,43,2019-07-02,0.47,28,60,3.6047e+14
253811,Loft Suite @ The Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73693,-73.95316,Entire home/apt,199,3,30,2019-07-03,0.32,28,56,3.6047e+14
253815,Loft Suite @ The Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.737840000000006,-73.95324000000001,Entire home/apt,199,3,39,2019-06-29,0.44,28,84,3.6047e+14
253828,Duplex w/ Terrace @ Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.736740000000005,-73.95246999999999,Private room,349,3,8,2018-07-26,0.09,28,58,3.6047e+14
253839,Loft w/ Terrace @ Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.737829999999995,-73.95259,Private room,249,3,3,2015-11-03,0.03,28,60,3.6047e+14
253842,1 BR w/ Terrace @ Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.737140000000004,-73.95296,Private room,299,3,6,2018-04-19,0.1,28,60,3.6047e+14
253846,Superior @ Box House,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73731,-73.9545,Private room,179,3,4,2015-12-04,0.05,28,81,3.6047e+14
254131,"Read it 1st, A seprat fur BR, low $",1267021,Sharma,Queens,Jackson Heights,40.74965,-73.89344,Private room,54,5,56,2019-07-06,0.66,3,365,3.6081e+14
254168,2 BR Duplex @ Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73793,-73.95316,Private room,599,3,7,2018-11-16,0.08,28,60,3.6047e+14
254409,Husband & Wife Art-Filled Apartment,1336542,Stephanie,Brooklyn,Clinton Hill,40.68197,-73.96549,Entire home/apt,110,1,2,2014-01-13,0.03,1,0,3.6047e+14
255024,"3BR, 2 bathroom condo in Bushwick",1340007,Roger,Brooklyn,Bushwick,40.702709999999996,-73.91566,Entire home/apt,220,2,178,2019-06-24,2.69,1,297,3.6047e+14
255476,"The BLUE OWL:
VEGETARIAN WBURG W PATIO & BACKYARD!",1302029,Bree,Brooklyn,Williamsburg,40.7116,-73.9529,Private room,89,30,30,2019-05-31,0.8,1,91,3.6047e+14
255601,Cozy 2 Bedroom 20 Min from City,1343630,Antonio,Brooklyn,Bedford-Stuyvesant,40.692409999999995,-73.94885,Entire home/apt,170,2,190,2019-06-23,2.04,1,315,3.6047e+14
255957,NOLITA! LOCATION! LOCATION! VIEWS! FREE GYM!,506779,Claudia,Manhattan,Nolita,40.720040000000004,-73.99424,Entire home/apt,495,7,25,2019-06-30,0.27,2,338,3.6061e+14
256078,"Entire apt NYC, Queens. 15 min from Times Square.",1346437,Cristina,Queens,Sunnyside,40.74511,-73.92398,Entire home/apt,80,10,81,2019-05-31,0.98,2,40,3.6081e+14
256328,Luxury Chelsea Townhouse at the High Line,1347034,Janine,Manhattan,Chelsea,40.74599,-74.00253000000001,Entire home/apt,760,2,7,2019-06-22,0.08,1,361,3.6061e+14
